OriginalId|Text|Category|CategoryPredict
49|dr knight provide overview kentucky comprehensive cancer control detail resource plan outline current monetary nonmonetary resource available consortium identify strategy get maintaining resource still need implement priority area kentucky cancer action plan|19|19
50|specialize commercial advertising editorial photography jar shoot still photography video large list national regional client emphasize outdoor sport people lifestyle architecture jar become visionary creative photography oregon region available world wide assignment stock sale|20|20
51|dr reynolds own doctor employee practice year sell move academia dr reynolds receive dental degree university detroit msba medical dental practice administration madonna university livonia michigan|19|16
52|specialist interest include bariatric surgery weight loss surgery include gastric band gastric balloon advance laparoscopic keyhole surgery cancer surgerycurrent membershipsassociation surgeon great britain ireland association upper gi surgeon assocation endoscopic surgeon british obesity surgery society register member ofgeneral medical council gmc association surgeon great britain ireland association upper gastrointestinal surgeon association laparoscopic surgeon british obesity surgery society international federation surgery obesity european association endoscopic surgery south west gastroenterology group surgical club south west england mr dave keogh|8|8
53|adjunct professor clinical doctoral program long island university faculty postdoctoral program derner institute adelphi university ny suffolk institute psychotherapy psychoanalysis ny publish trauma field train professional provide direct service help civilian uniformed responder cope trauma dianne kane create couple connection program use help firefighter couple recover coeditor public mental health service delivery protocols group intervention disaster preparedness response also private practice northport ny|22|19
54|aoikun student council confess sudden huge decision make since never date komatsu confuse whether date extremely popular aoikun constantly surround pretty girls komatsu akina passionate photographer schoolâs newspaper club aoikun student council confess sudden huge decision make since never date komatsu confuse whether date extremely popular aoikun constantly surround pretty girls continue struggle lack confidence budding feeling aoikun decide sometimes take leap faith go less|20|20
55|contributes blog lawyer gun money vox pop follow lemieuxlgm article scott lemieux r feed article scott lemieux issue|19|26
56|maintains tumblr blog document sleuth spotted homeless man take center stage front national pamphlet neither homeless french rather stock photo|6|20
57|bridget first come washington online editor hill write world hill column foreign policy previously opinion writer editorial board member rocky mountain news nationworld news columnist los angeles daily news bridget fellow specialize terrorism analysis haym salomon center npr contributor contribute usa today wall street journal national review online politico new york daily news new york observer realclearworld myriad television radio credit bridget washington editor pj medium|6|6
58|also make film include comic book city portland oregon usa documentary community comic creator portland oregon view detail imdb|19|18
59|research interest race ethnicity gender religion citizenship recently complete dissertation collateral damagedeamericanization muslim americans research examines muslim american experience racialization unite state deamericanization cultural exclusion social citizenship earlier year earn teach innovation professional development award sage american sociological association professor selod publish widely currently coediting special issue critical sociology examine public attitude towards muslim unite state base national survey conduct pew research center|19|19
60|americanborn daughter kenyanindian immigrant kulsum live work intersection gender culture immigration poverty antiviolence effort eight year coordinate legal assistance foundation project sos safety outreach service project dedicate empower immigrant woman education outreach holistic service legal representation train thousand advocate cultural competency immigration remedy family law issue immigrant woman importantly work closely woman child country religious legal cultural right|26|26
61|galloway writer guild americas best documentary screenplay award film well world pov encore investigates story boyhood friend charge domestic terrorism lengthy relationship revolutionary mentor fbi informant make association investigative reporting program uc berkeley well world gotham independent film best documentary award international documentary association creative achievement award national emmy nomination among accolade|18|18
62|focus migration crisis cover story greece across balkan freelance photographer enri study photography leica academy athens take part british council project migration attend yearlong workshop magnum photographer nikos economopoulos enri winner juried jgs contest albania ahomecoming project work exhibit greece include benaki museum athens bozar center fine art cultural foundation national bank greece internationally exhibit bilgi santral istanbul european parliament brussels new delhi foto festival|20|20
63|howard available documentary commercial assignment western new york publisher batavian online news site cover genesee county|20|6
64|may serve consultant national legal department aclu help develop strategic plan organization racial justice issue september september served counsel senator kennedy senate judiciary committee work civil right judicial nomination religion first amendment issue prior ms johnson assistant counsel four year naacp legal defense fund work range issue include high education affirmative action employment discrimination education policy welfare lowwage employment policy m johnson graduate stanford law school order coif receive ba literature cum laude yale university|19|26
65|longheld interest international politics desire raise awareness social humanitarian issue lead katie journalism upon graduation move mexico got start photographer katie complete master stabile fellow investigative reporting columbia university graduate school journalism currently contributor reportage getty image regularly work new york time wall street journal le monde various nonprofit organization around world receive alexia foundation first place student grant poyi emerge vision incentive award body work innocence assassinate living mexicos drug war receive ba political science latin american study colorado college vimeo|20|19
66|author regulate national pastime baseball antitrust publish article book chapter campaign finance reform political party massachusetts politics political culture public opinion political socialization addition university work mr duquette also work occassion political public policy consultant public speaker serve many year faculty consultant educational testing service princeton nj|19|19
67|though arias work variously visual effect artist animation software developer producer best know directorial debut anime feature tekkonkinkreet establish first nonjapanese director major anime film|18|18
68|receive ba psychology yale university psychology wesleyan university phd human development family study penn state university postdoctoral training clinical genetic epidemiology columbia university read full bio|19|19
69|area research interest include value contemporary public library institution social medium practicebased approach information interaction practice form organize current teaching interest area resource discovery knowledge organization social medium library marketing advocacy|19|19
70|specializes relationship issue intimacy assertiveness identity gender selfesteem sexuality research focus understanding resolve sexual social religious conflict dr beckstead also cofacilitator weekend retreat men sexually abused member international academy sex research american psychological association select part task force evaluate intervention change sexual orientation make therapeutic recommendation desire change|22|19
71|one touch scene ask child draw story crayon say even bad memory pretty color color vivid passion make alive context turmoil|3|5
72|also taught certificate assistant nurse last two year tafe facilitate nd year student foundation childrens nurse ut transfer ncirs work burden flu trial child less year age admit childrens hospital work various clinical trial|14|14
73|work westmead hospital childrens hospital westmead year mainly burn trauma intensive care unit join ncirs march work various clinical vaccine trial research nurse|14|14
74|specialty area include political economics game theory experimental economics area research include lobby auction competition information cotton blog interest economics focus microeconomics research even noneconomists might enjoy httpwwwinterestingeconomicscom receive ba michigan state university phd cornell university|19|19
75|receive phd physic oregon state university passion computer graphic intersection art science teach computer graphic undergraduates plu year use opengl information take directly book|19|19
76|receive medical degree complete ophthalmology residency state university new york downstate medical center residency train dr berman complete fellowship neuroophthalmology orbital oculoplastic surgery university minnesota practice boardcertified ophthalmologist sarasota florida|19|19
77|president owner dianne b scheinberg associate nutrition counsel consult firm newton client include bosse sport health club massachusetts department public health|27|26
78|serf director pediatric ems vanderbilt childrens hospital assistant medical director nashville fire department contact markmeredithvanderbiltedu|19|19
79|work alone wark photograph continent alaska labrador north costa rica lesser antilles south eleven year flown hour take photograph guide us aviation skill gain naval aviator airshow pilot love earth form gain career mining engineer geologist photography represent photo agency u uk france australia membership maintain asmp american society medium photographer papa professional aerial photographer association work judge best show papa four consecutive year see less|20|20
80|found couple therapy inc practice internationally online western massachusetts train clinician work effectively online couple counsel special interest include struggle international couple neuroatypical bond highfunctioning autism adhd application couple therapy principle online platform effectively treat couple intensively two threeday format teach doctoral program clinical psychology antioch university new england graduate program cambridge college cambridge work feature cbs new york also proud member ismho reach kathymcmahonhushcom|22|22
81|focus practice area personal injury car accident product liability wrongful deathlaw firm overview cary j wintroub associate llc|26|26
82|publish bestseller sum legendary basketball coach pat summitt shortly summitt diagnosed alzheimers disease combine knowledge sport moonlight passion historical research write real american true story carlisle indian school take ivy league football turn century pioneer forward pas innovation|6|19
83|practice united state europe asia outside counsel general counsel several multinational financial institution include associate law firm represent goldman sachs co tag clouddebatethis|19|26
84|know many space invader symbol frequently use garraud master craft show collaboration album hillside west produce alesia rank sale itunes category electronic music week release check album well albums invasion invasion|10|1
85|follow study kyoto university graduate school hirata work architect toyo ito associate establish studio|24|24
86|stus introduction photography one accident quite literally car smash saw hobble crutch plaster dangerously itchy level force shore leave prove blessing disguise soon pick camera shoot beach preloved canon film rig stu realise stumble onto good thing judge powerful image capture also outspoken eager mate mildly excite see shot stu realise found passion true life callingcheck stuart portfolio wwwstugibsonnet|20|20
87|he work distributed system middleware system year include distributed object system serviceoriented system restful web service interest software quality development speed lead steve start explore use erlang he use primary development language ever since magazine columnist since currently write functional web column ieee internet compute explores use functional programming language web developmentstevevinoski steve vinoski give follow talk|24|19
88|earn ph clinical psychology stony brook university postdoctoral work social psychology dr roy baumeister license clinical psychologist certify spiritual director ignatian spirituality institute john carroll university research center issue relate spiritual struggle forgiveness special interest help people understand cope feeling anger towards god dr exline currently serve president division american psychological association psychology religion spirituality|19|19
89|start photograph early age continue explore art year come pursue professional degree photography study every element photography every course available college continue learn develop technique style photography settle journalism scenic photography primary subject continue use manual style filmbased equipment several year later advent digital camera drawn ability combine technological background art alex centrella strongly believe photography fine art form importantly method communication alex centrella continue work live california member national press association|20|20
90|melissa riso take birth monterey city california th june melissa tall beautiful talented model long dark brown hair hazel eye make look stunning always center attraction every event come limelight audacious import tuner scene make popular among many prestigious magazine|1|20
91|receive md university north carolina chapel hill complete residency internal medicine mount sinai medical center new york city past research interest include ethic maternal fetal surgery community education outreach genetics ethical legal social issue around genetic research test ownership view research material center genomics society house within department social medicine university north carolina chapel hill school medicine support elsi research program national human genome research institute national institute health grant number phg|19|19
92|native pikeville kentucky graduate centre college university kentucky college law m koch practice focus primarily family law employment law criminal law civil litigation m koch serve numerous public service role include representation fayette county bar association domestic violence pro bono advocacy program actively involve various organization committee include board director court appoint special advocate casa young professional committee lexington public library foundation fayette county kentucky bar association centre college alumnus association category employee contract employment law national labor relation act|26|26
93|dr zhang receive bachelor medicine sun yatsen university medical science phd beijing medical university dr zhang join faculty university michigan|19|19
94|receive ab harvard university advise derek parfit receive phd philosophy princeton university write dissertation foundation ethic advise david lewis gilbert harman begin harvard study postdoctoral fellow princeton neuroscience cognitive control laboratory jonathan cohen currently director moral cognition lab|19|19
95|also manage editor exceptionalcaninecom boatman work appear miami herald detroit free press san jose mercury news lifelong lover animal frequent contributor dog daily entry post dog tag celebration dog holiday bookmark permalink|6|6
96|graduate doctor veterinary medicine degree spending time private practice complete large animal internal medicine residency doctor veterinary science graduate program board certify internal medicine american college veterinary internal medicine chief infection control ontario veterinary college teach hospital active research program focus infectious disease particularly transmit animal people life outside guelph ontario family collection pet include dog cat fish herd rarebreed sheep link interest|19|19
97|teacher certify renowned instructor rodney yee richard rozen contribute editor yoga journal jimamukti train collen saidmain alinas train also include work drjamie naughright athletic trainer professional athlete dynamic anatomy teacher well anatomy workshop iyengar institute nyc feature mayo clinic video therapeutic yoga alina background dance begin career american ballet theatre year abt join broadway cast phantom opera|3|2
98|proponent open source open system well economic theory information search engines call google economy casey bisson information architect plymouth state university plymouth nh responsible lead web development effort across university focus online learn environment proponent open source open system well economic theory information search engines call google economy|24|19
99|year experience child adult family psychology cofounder christian wholeness counselling service enjoy research issue brain mind read seek new book resource client|22|19
